GOOG
AAPL
TSLA
GE
KO
GM
KR
PTON
MRO
TWTR
MCD
WEN
UNH
MRK
LLY
AVAV
BA.L
LMT
BA
NOC
KUBTY
DE
SWBI
RGR
SPWH
AOUT
OSK
RYCEY
FINMY
RNMBY
GC=F
PL=F
INTC
DIS
CL=F
U
AAL
NOK
SI=F
V
XOM
PFE
NG=F
AITX
WIT
NTDOY
UBSFY
NVDA
AMZN
MMM
CMG
UPS
SHW
ATER
WM
PEP
MSFT
ORLY
UEC
FIKGX
